Category_En,Category_Vi,Tag_En,Tag_Vi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Studying,Học tập,Studying abroad,Du học,,,,,,,,,,,,,,,,,,,,,,
Studying,Học tập,university application,nộp đơn vào đại học,,,,,,,,,,,,,,,,,,,,,,
Studying,Học tập,admission inquiry,quy trình nhập học,,,,,,,,,,,,,,,,,,,,,,
Studying,Học tập,letter of recommendation,xin thư giới thiệu,,,,,,,,,,,,,,,,,,,,,,
Studying,Học tập,SAT/GRE/GMAT,SAT/GRE/GMAT,,,,,,,,,,,,,,,,,,,,,,
Studying,Học tập,resume review,"đánh giá, tư vấn cải thiện CV",,,,,,,,,,,,,,,,,,,,,,
Studying,Học tập,studying tips,bí quyết học tập,,,,,,,,,,,,,,,,,,,,,,
Studying,Học tập,social activities,hoạt động xã hội,,,,,,,,,,,,,,,,,,,,,,
Studying,Học tập,offer evaluation,đánh giá offer,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Internship,Thực tập,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,job interviews,phỏng vấn,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,resume review,đánh giá CV,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,career advice,lời khuyên cho sự nghiệp,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,offer evaluation,đánh giá offer,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,company review,đánh giá về công ty,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,salary inquiry,mức lương,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,company application,ứng tuyển,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,referrals,xin thư giới thiệu,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,EY,EY,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Google,Google,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Amazon,Amazon,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,FPT,FPT,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,master,thạc sĩ,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,PhD,tiến sĩ,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Deloitte,Deloitte,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Facebook,Facebook,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,MBA,MBA,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Microsoft,Microsoft,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,JP Morgan,JP Morgan,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Apple,Apple,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,FAANG,FAANG,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Bloomberg,Bloomberg,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Two sigma,Two sigma,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Referral,giới thiệu/tiên cử,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Business analyst,nhà phân tích tài chính,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,AI,trí tuệ nhân tạo,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Uber,Uber,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Lyft,Lyft,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Pinterest,Pinterest,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Linkedin,Linkedin,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Snapchat,Snapchat,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Twitter,Twitter,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Salesforce,Salesforce,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Project manager,quản lý dự án,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Onsite interview,phỏng vấn onsite,,,,,,,,,,,,,,,,,,,,,,
Career,Sự nghiệp,Airbnb,Airbnb,,,,,,,,,,,,,,,,,,,,,,
